,congress,type,originChamber,originChamberCode,number,url,title,updateDateIncludingText,latestAction,updateDate
0,119,SRES,Senate,S,420,https://api.congress.gov/v3/bill/119/sres/420?format=xml,"A resolution supporting the designation of September 19, 2025, as ""National Concussion Awareness Day"".",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6844; text: CR S6839)'}",2025-09-30
1,119,SRES,Senate,S,418,https://api.congress.gov/v3/bill/119/sres/418?format=xml,"A resolution expressing support for the designation of the week of September 20 through September 27, 2025, as ""National Estuaries Week"".",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent. (text: CR 9/19/2025 S6795-6796)'}",2025-09-30
2,119,S,Senate,S,2144,https://api.congress.gov/v3/bill/119/s/2144?format=xml,"A bill to improve the safety and security of Members of Congress, immediate family members of Members of Congress, and congressional staff.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Passed Senate with an amendment by Unanimous Consent. (text: CR S6841-6842)'}",2025-09-30
3,119,S,Senate,S,1333,https://api.congress.gov/v3/bill/119/s/1333?format=xml,Strengthening Child Exploitation Enforcement Act,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Passed Senate without amendment by Unanimous Consent. (text: CR S6843-6844)'}",2025-09-30
4,119,HR,House,H,5371,https://api.congress.gov/v3/bill/119/hr/5371?format=xml,"Continuing Appropriations and Extensions Act, 2026",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Cloture motion on the motion to proceed to the measure presented in Senate. (: CR S6842)'}",2025-09-30
5,119,S,Senate,S,2938,https://api.congress.gov/v3/bill/119/s/2938?format=xml,"A bill to require the Secretary of Energy to establish the Advanced Artificial Intelligence Evaluation Program, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Commerce, Science, and Transportation.'}",2025-09-30
6,119,S,Senate,S,2882,https://api.congress.gov/v3/bill/119/s/2882?format=xml,"Continuing Appropriations and Extensions and Other Matters Act, 2026",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Motion to proceed to consideration of measure withdrawn in Senate.'}",2025-09-30
7,119,SRES,Senate,S,412,https://api.congress.gov/v3/bill/119/sres/412?format=xml,An executive resolution authorizing the en bloc consideration in Executive Session of certain nominations on the Executive Calendar.,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Cloture motion on the measure presented in Senate.'}",2025-09-30
8,119,S,Senate,S,2806,https://api.congress.gov/v3/bill/119/s/2806?format=xml,Eliminate Shutdowns Act,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Motion by Senator Thune to reconsider the motion to proceed the vote by which cloture on the motion to proceed to S. 2806 was not invoked (Record Vote No. 533) made in Senate.'}",2025-09-30
9,119,SRES,Senate,S,421,https://api.congress.gov/v3/bill/119/sres/421?format=xml,"A resolution urging the executive branch and leaders of the G7 and the European Union to seize sovereign assets of the Russian Federation under the jurisdiction of members of the G7 and disburse such assets to Ukraine in tranches of not less than $10,000,000,000 United States dollars per month until expended.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Referred to the Committee on Foreign Relations. (text: CR S6839-6840)'}",2025-09-30
10,119,S,Senate,S,2936,https://api.congress.gov/v3/bill/119/s/2936?format=xml,"A bill to designate Antifa as a domestic terrorist organization, to counter domestic terrorism and organized political violence, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2025-09-30
11,119,S,Senate,S,2937,https://api.congress.gov/v3/bill/119/s/2937?format=xml,A bill to establish legal standards for advanced artificial intelligence products.,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on the Judiciary. (text: CR S6836-6838)'}",2025-09-30
12,119,SRES,Senate,S,419,https://api.congress.gov/v3/bill/119/sres/419?format=xml,"A resolution expressing support for the designation of September 2025 as ""Hawaiian History Month"" to recognize the history, culture and contributions of Native Hawaiians and reaffirm the United States Federal trust responsibility to the Native Hawaiian Community to support their well-being.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Referred to the Committee on Indian Affairs. (text: CR S6838-6839)'}",2025-09-30
13,119,S,Senate,S,2935,https://api.congress.gov/v3/bill/119/s/2935?format=xml,"A bill to prohibit State and local law enforcement officers from arresting foreign nationals within the United States solely on the basis of an indictment, warrant, or request issued by the International Criminal Court, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2025-09-30
14,119,S,Senate,S,723,https://api.congress.gov/v3/bill/119/s/723?format=xml,Tribal Trust Land Homeownership Act of 2025,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Star Print ordered on 119-60.'}",2025-09-30
15,119,S,Senate,S,2934,https://api.congress.gov/v3/bill/119/s/2934?format=xml,A bill to limit the availability of civil actions affected by United States sanctions.,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2025-09-30
16,119,S,Senate,S,2933,https://api.congress.gov/v3/bill/119/s/2933?format=xml,"A bill to redesignate a playground in the New River Gorge National Park and Preserve in the State of West Virginia as the ""Hearts of Gold Playground: In Honor of West Virginia Children and Families Impacted by Childhood Cancer"".",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Energy and Natural Resources.'}",2025-09-30
17,119,S,Senate,S,2932,https://api.congress.gov/v3/bill/119/s/2932?format=xml,"A bill to protect the name, image, and likeness rights of, and provide protections for, student athletes, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Commerce, Science, and Transportation.'}",2025-09-30
18,119,S,Senate,S,2931,https://api.congress.gov/v3/bill/119/s/2931?format=xml,A bill to reauthorize the National Flood Insurance Program.,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.'}",2025-09-30
19,119,S,Senate,S,2930,https://api.congress.gov/v3/bill/119/s/2930?format=xml,"A bill to reduce spending on nuclear weapons and related defense spending and to prohibit the procurement and deployment of low-yield nuclear warheads, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Armed Services.'}",2025-09-30
20,119,S,Senate,S,2929,https://api.congress.gov/v3/bill/119/s/2929?format=xml,A bill to require enforcement against misbranded egg alternatives.,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Health, Education, Labor, and Pensions.'}",2025-09-30
21,119,S,Senate,S,2928,https://api.congress.gov/v3/bill/119/s/2928?format=xml,"A bill to amend the Immigration and Nationality Act to reform and reduce fraud and abuse in certain visa programs for aliens working temporarily in the United States, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2025-09-30
22,119,S,Senate,S,2926,https://api.congress.gov/v3/bill/119/s/2926?format=xml,"A bill to establish the New York-New Jersey Watershed Restoration Program, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Environment and Public Works.'}",2025-09-30
23,119,S,Senate,S,2927,https://api.congress.gov/v3/bill/119/s/2927?format=xml,"A bill to amend the Public Health Service Act to direct the Secretary of Health and Human Services, acting through the Administrator of the Health Resources and Services Administration, to award grants, contracts, or cooperative agreements for supporting new mobile cancer screening units to expand patient access to essential screening services in rural and underserved communities, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Health, Education, Labor, and Pensions.'}",2025-09-30
24,119,S,Senate,S,2925,https://api.congress.gov/v3/bill/119/s/2925?format=xml,"A bill to direct the Federal Trade Commission to conduct a study on the governance of neural data and other related data, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Commerce, Science, and Transportation. (text: CR S6834-3836)'}",2025-09-30
25,119,S,Senate,S,642,https://api.congress.gov/v3/bill/119/s/642?format=xml,Keweenaw Bay Indian Community Land Claim Settlement Act of 2025,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Placed on Senate Legislative Calendar under General Orders. Calendar No. 175.'}",2025-09-30
26,119,S,Senate,S,620,https://api.congress.gov/v3/bill/119/s/620?format=xml,Veterinary Services to Improve Public Health in Rural Communities Act,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Placed on Senate Legislative Calendar under General Orders. Calendar No. 174.'}",2025-09-30
27,119,S,Senate,S,2924,https://api.congress.gov/v3/bill/119/s/2924?format=xml,"A bill to require the Securities and Exchange Commission to carry out a study and rulemaking on the definition of the term ""small entity"" under the securities laws for purposes of chapter 6 of title 5, United States Code, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.'}",2025-09-30
28,119,S,Senate,S,1437,https://api.congress.gov/v3/bill/119/s/1437?format=xml,ASCEND Act,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Placed on Senate Legislative Calendar under General Orders. Calendar No. 173.'}",2025-09-30
29,119,S,Senate,S,503,https://api.congress.gov/v3/bill/119/s/503?format=xml,NET Act,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Placed on Senate Legislative Calendar under General Orders. Calendar No. 171.'}",2025-09-30
30,119,S,Senate,S,1433,https://api.congress.gov/v3/bill/119/s/1433?format=xml,Northwest Straits Marine Conservation Initiative Reauthorization Act of 2025,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Placed on Senate Legislative Calendar under General Orders. Calendar No. 172.'}",2025-09-30
31,119,S,Senate,S,428,https://api.congress.gov/v3/bill/119/s/428?format=xml,SAFE Orbit Act,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Placed on Senate Legislative Calendar under General Orders. Calendar No. 170.'}",2025-09-30
32,119,S,Senate,S,318,https://api.congress.gov/v3/bill/119/s/318?format=xml,ANCHOR Act,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Placed on Senate Legislative Calendar under General Orders. Calendar No. 169.'}",2025-09-30
33,119,S,Senate,S,2296,https://api.congress.gov/v3/bill/119/s/2296?format=xml,National Defense Authorization Act for Fiscal Year 2026,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Considered by Senate. (consideration: CR S6805-6813)'}",2025-09-30
34,119,HR,House,H,4070,https://api.congress.gov/v3/bill/119/hr/4070?format=xml,Tren de Aragua Border Security Threat Assessment Act,2025-09-27,"{'actionDate': '2025-09-26', 'text': 'Placed on the Union Calendar, Calendar No. 267.'}",2025-09-27
35,119,HR,House,H,4057,https://api.congress.gov/v3/bill/119/hr/4057?format=xml,CBP Canine Home Kenneling Pilot Act,2025-09-27,"{'actionDate': '2025-09-26', 'text': 'Placed on the Union Calendar, Calendar No. 266.'}",2025-09-27
36,119,HR,House,H,3492,https://api.congress.gov/v3/bill/119/hr/3492?format=xml,Protect Childrenâ€™s Innocence Act,2025-09-27,"{'actionDate': '2025-09-26', 'text': 'Placed on the Union Calendar, Calendar No. 265.'}",2025-09-27
37,119,HR,House,H,2605,https://api.congress.gov/v3/bill/119/hr/2605?format=xml,SAVES Act,2025-09-29,"{'actionDate': '2025-09-26', 'text': 'Placed on the Union Calendar, Calendar No. 264.'}",2025-09-29
38,119,HR,House,H,659,https://api.congress.gov/v3/bill/119/hr/659?format=xml,Veterans Law Judge Experience Act of 2025,2025-09-27,"{'actionDate': '2025-09-26', 'text': 'Placed on the Union Calendar, Calendar No. 263.'}",2025-09-27
39,119,HR,House,H,1458,https://api.congress.gov/v3/bill/119/hr/1458?format=xml,VETS Opportunity Act of 2025,2025-09-29,"{'actionDate': '2025-09-26', 'text': 'Placed on the Union Calendar, Calendar No. 262.'}",2025-09-29
40,119,HRES,House,H,767,https://api.congress.gov/v3/bill/119/hres/767?format=xml,"Expressing the sense of the House of Representatives that violent attacks against United States Immigration and Customs Enforcement (ICE) facilities and officers are unacceptable, must be fully condemned, and that Congress stands in support of ICE's mission to protect national security, public safety, and the enforcement of immigration laws.",2025-09-29,"{'actionDate': '2025-09-26', 'text': 'Referred to the Committee on the Judiciary, and in addition to the Committees on Homeland Security, and Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.'}",2025-09-29
41,119,HR,House,H,5589,https://api.congress.gov/v3/bill/119/hr/5589?format=xml,"To name the Department of Veterans Affairs clinic located in Riverhead, New York, as the ""Private First Class Garfield M. Langhorn VA Clinic"", and for other purposes.",2025-09-27,"{'actionDate': '2025-09-26', 'text': ""Referred to the House Committee on Veterans' Affairs.""}",2025-09-27
42,119,HR,House,H,5585,https://api.congress.gov/v3/bill/119/hr/5585?format=xml,To provide for the applicability of the Federal Performance Based Detention Standards to any immigration detention facility.,2025-09-27,"{'actionDate': '2025-09-26', 'text': 'Referred to the House Committee on the Judiciary.'}",2025-09-27
43,119,HR,House,H,5567,https://api.congress.gov/v3/bill/119/hr/5567?format=xml,"To require the Secretary of Defense to provide a briefing to Congress on plans to expand access to affordable housing for members of the Armed Forces through partnerships with local governments and housing providers, and for other purposes.",2025-09-27,"{'actionDate': '2025-09-26', 'text': 'Referred to the House Committee on Armed Services.'}",2025-09-27
44,119,HR,House,H,5588,https://api.congress.gov/v3/bill/119/hr/5588?format=xml,"To designate the facility of the United States Postal Service located at 170 Main Street in Westhampton Beach, New York, as the ""Jolly 51 Memorial Post Office Building"".",2025-09-27,"{'actionDate': '2025-09-26', 'text': 'Referred to the House Committee on Oversight and Government Reform.'}",2025-09-27
45,119,HRES,House,H,768,https://api.congress.gov/v3/bill/119/hres/768?format=xml,Original Resolution Honoring Alpha Phi Alpha,2025-09-29,"{'actionDate': '2025-09-26', 'text': 'Referred to the House Committee on Education and Workforce.'}",2025-09-29
46,119,HR,House,H,5608,https://api.congress.gov/v3/bill/119/hr/5608?format=xml,To ensure that Write Your Own companies can sell private flood insurance products that compete with National Flood Insurance Program products.,2025-09-27,"{'actionDate': '2025-09-26', 'text': 'Referred to the House Committee on Financial Services.'}",2025-09-27
47,119,HR,House,H,5609,https://api.congress.gov/v3/bill/119/hr/5609?format=xml,"To direct the National Institutes of Health to reinstate funding to recipients of grants or other awards, and for other purposes.",2025-09-27,"{'actionDate': '2025-09-26', 'text': 'Referred to the House Committee on Energy and Commerce.'}",2025-09-27
48,119,HRES,House,H,771,https://api.congress.gov/v3/bill/119/hres/771?format=xml,"Expressing support for the designation of September 2025 as ""National Kinship Care Month"".",2025-09-29,"{'actionDate': '2025-09-26', 'text': 'Referred to the House Committee on Ways and Means.'}",2025-09-29
49,119,HR,House,H,5611,https://api.congress.gov/v3/bill/119/hr/5611?format=xml,"To authorize an individual who is transitioning from receiving treatment furnished by the Secretary of Defense to treatment furnished by the Secretary of Veterans Affairs to continue receiving treatment from such individual's mental health care provider of the Department of Defense, and for other purposes.",2025-09-27,"{'actionDate': '2025-09-26', 'text': ""Referred to the Committee on Armed Services, and in addition to the Committee on Veterans' Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.""}",2025-09-27
